Group size (nodes);Ordinary tr.;Trust tr.;th;psize;Ordinary time;Trust time;Tot time;Tot transactions
10;1807;0;0;2;264.9062;0;264.9062;1807
10;1807;380;0.1;2;264.9062;55.708;320.6142;2187
10;1807;716;0.2;2;264.9062;104.9656;369.8718;2523
10;1807;1066;0.3;2;264.9062;156.2756;421.1818;2873
10;1807;1456;0.4;2;264.9062;213.4496;478.3558;3263
10;1807;1812;0.5;2;264.9062;265.6392;530.5454;3619
10;1807;2082;0.6;2;264.9062;305.2212;570.1274;3889
10;1807;2486;0.7;2;264.9062;364.4476;629.3538;4293
10;1807;2772;0.8;2;264.9062;406.3752;671.2814;4579
10;1807;3238;0.9;2;264.9062;474.6908;739.597;5045
20;3767;0;0;2;552.2422;0;552.2422;3767
20;3767;780;0.1;2;552.2422;114.348;666.5902;4547
20;3767;1550;0.2;2;552.2422;227.23;779.4722;5317
20;3767;2294;0.3;2;552.2422;336.3004;888.5426;6061
20;3767;2986;0.4;2;552.2422;437.7476;989.9898;6753
20;3767;3808;0.5;2;552.2422;558.2528;1110.495;7575
20;3767;4514;0.6;2;552.2422;661.7524;1213.9946;8281
20;3767;5324;0.7;2;552.2422;780.4984;1332.7406;9091
20;3767;5996;0.8;2;552.2422;879.0136;1431.2558;9763
20;3767;6754;0.9;2;552.2422;990.1364;1542.3786;10521
30;5172;0;0;2;758.2152;0;758.2152;5172
30;5172;1032;0.1;2;758.2152;151.2912;909.5064;6204
30;5172;2076;0.2;2;758.2152;304.3416;1062.5568;7248
30;5172;3084;0.3;2;758.2152;452.1144;1210.3296;8256
30;5172;4166;0.4;2;758.2152;610.7356;1368.9508;9338
30;5172;5072;0.5;2;758.2152;743.5552;1501.7704;10244
30;5172;6180;0.6;2;758.2152;905.988;1664.2032;11352
30;5172;7248;0.7;2;758.2152;1062.5568;1820.772;12420
30;5172;8324;0.8;2;758.2152;1220.2984;1978.5136;13496
30;5172;9214;0.9;2;758.2152;1350.7724;2108.9876;14386
40;6257;0;0;2;917.2762;0;917.2762;6257
40;6257;1268;0.1;2;917.2762;185.8888;1103.165;7525
40;6257;2524;0.2;2;917.2762;370.0184;1287.2946;8781
40;6257;3702;0.3;2;917.2762;542.7132;1459.9894;9959
40;6257;4966;0.4;2;917.2762;728.0156;1645.2918;11223
40;6257;6218;0.5;2;917.2762;911.5588;1828.835;12475
40;6257;7472;0.6;2;917.2762;1095.3952;2012.6714;13729
40;6257;8714;0.7;2;917.2762;1277.4724;2194.7486;14971
40;6257;10122;0.8;2;917.2762;1483.8852;2401.1614;16379
40;6257;11206;0.9;2;917.2762;1642.7996;2560.0758;17463
50;7095;0;0;2;1040.127;0;1040.127;7095
50;7095;1494;0.1;2;1040.127;219.0204;1259.1474;8589
50;7095;2830;0.2;2;1040.127;414.878;1455.005;9925
50;7095;4200;0.3;2;1040.127;615.72;1655.847;11295
50;7095;5636;0.4;2;1040.127;826.2376;1866.3646;12731
50;7095;7084;0.5;2;1040.127;1038.5144;2078.6414;14179
50;7095;8436;0.6;2;1040.127;1236.7176;2276.8446;15531
50;7095;9904;0.7;2;1040.127;1451.9264;2492.0534;16999
50;7095;11344;0.8;2;1040.127;1663.0304;2703.1574;18439
50;7095;12734;0.9;2;1040.127;1866.8044;2906.9314;19829
60;9192;0;0;2;1347.5472;0;1347.5472;9192
60;9192;1872;0.1;2;1347.5472;274.4352;1621.9824;11064
60;9192;3760;0.2;2;1347.5472;551.216;1898.7632;12952
60;9192;5576;0.3;2;1347.5472;817.4416;2164.9888;14768
60;9192;7292;0.4;2;1347.5472;1069.0072;2416.5544;16484
60;9192;9170;0.5;2;1347.5472;1344.322;2691.8692;18362
60;9192;11096;0.6;2;1347.5472;1626.6736;2974.2208;20288
60;9192;12822;0.7;2;1347.5472;1879.7052;3227.2524;22014
60;9192;14798;0.8;2;1347.5472;2169.3868;3516.934;23990
60;9192;16556;0.9;2;1347.5472;2427.1096;3774.6568;25748
70;9578;0;0;2;1404.1348;0;1404.1348;9578
70;9578;1882;0.1;2;1404.1348;275.9012;1680.036;11460
70;9578;3752;0.2;2;1404.1348;550.0432;1954.178;13330
70;9578;5730;0.3;2;1404.1348;840.018;2244.1528;15308
70;9578;7856;0.4;2;1404.1348;1151.6896;2555.8244;17434
70;9578;9752;0.5;2;1404.1348;1429.6432;2833.778;19330
70;9578;11498;0.6;2;1404.1348;1685.6068;3089.7416;21076
70;9578;13302;0.7;2;1404.1348;1950.0732;3354.208;22880
70;9578;15368;0.8;2;1404.1348;2252.9488;3657.0836;24946
70;9578;17166;0.9;2;1404.1348;2516.5356;3920.6704;26744
80;10131;0;0;2;1485.2046;0;1485.2046;10131
80;10131;1960;0.1;2;1485.2046;287.336;1772.5406;12091
80;10131;4018;0.2;2;1485.2046;589.0388;2074.2434;14149
80;10131;6132;0.3;2;1485.2046;898.9512;2384.1558;16263
80;10131;8252;0.4;2;1485.2046;1209.7432;2694.9478;18383
80;10131;10082;0.5;2;1485.2046;1478.0212;2963.2258;20213
80;10131;12338;0.6;2;1485.2046;1808.7508;3293.9554;22469
80;10131;14190;0.7;2;1485.2046;2080.254;3565.4586;24321
80;10131;16110;0.8;2;1485.2046;2361.726;3846.9306;26241
80;10131;18338;0.9;2;1485.2046;2688.3508;4173.5554;28469
90;10247;0;0;2;1502.2102;0;1502.2102;10247
90;10247;2040;0.1;2;1502.2102;299.064;1801.2742;12287
90;10247;4132;0.2;2;1502.2102;605.7512;2107.9614;14379
90;10247;5902;0.3;2;1502.2102;865.2332;2367.4434;16149
90;10247;8278;0.4;2;1502.2102;1213.5548;2715.765;18525
90;10247;10390;0.5;2;1502.2102;1523.174;3025.3842;20637
90;10247;12422;0.6;2;1502.2102;1821.0652;3323.2754;22669
